행사코드,시작일,종료일,채널,유형,행사명,대상상품코드,할인율,쿠폰액,광고비,라이브시청수,담당팀
LV-2026-01,2026-06-11,2026-06-11,네이버 브랜드스토어,라이브방송,이브닝 리버서블 신혼 특집 라이브,SB-M-EVR-Q;SB-M-EVR-SS,0.18,30000,3100000,4200,슬로우베드사업팀
LV-2026-02,2026-06-25,2026-06-25,네이버 브랜드스토어,라이브방송,여름 토퍼 교체 라이브,SB-T-ARB5-Q;SB-T-ARC-Q,0.15,20000,2400000,3600,슬로우베드사업팀
LV-2026-03,2026-07-09,2026-07-09,네이버 브랜드스토어,라이브방송,장마철 통기성 토퍼 라이브,SB-T-ARB7-Q;SB-T-ARB5-SS,0.17,25000,2900000,5100,슬로우베드사업팀
LV-2026-04,2026-07-23,2026-07-23,네이버 브랜드스토어,라이브방송,한여름 숙면 매트리스 라이브,SB-M-DFC-Q;SB-M-DFB-Q,0.14,40000,3800000,6300,슬로우베드사업팀
LV-2026-05,2026-08-06,2026-08-06,네이버 브랜드스토어,라이브방송,이브닝 모션 매트리스 런칭 라이브,SB-MO-EVM-Q;SB-MO-EVM-SS,0.12,50000,6200000,11800,슬로우베드사업팀
LV-2026-06,2026-08-20,2026-08-20,네이버 브랜드스토어,라이브방송,가을 혼수 준비 라이브,SB-M-EVS-Q;SB-M-EVS-K,0.16,40000,3400000,5800,슬로우베드사업팀
EX-2026-01,2026-06-01,2026-06-08,쿠팡 로켓,기획전,쿠팡 여름 침구 기획전,SB-T-ARC-Q;SB-T-ARC-SS;SB-P-CLL,0.20,15000,2800000,0,슬로우베드사업팀
EX-2026-02,2026-06-15,2026-06-21,자사몰,기획전,슬로우베드 멤버십 위크,SB-M-DFC-Q;SB-T-NMX-Q;SB-P-CLB,0.12,30000,1900000,0,브랜드마케팅
EX-2026-03,2026-07-01,2026-07-06,네이버 브랜드스토어,기획전,네이버 여름 숙면 기획전,SB-T-ARB5-Q;SB-T-ARB7-Q;SB-T-ARC-Q,0.22,20000,5600000,0,슬로우베드사업팀
EX-2026-04,2026-07-13,2026-07-19,SSG닷컴,기획전,신세계 여름 홈퍼니싱 위크,SB-M-EVR-Q;SB-M-MFM-Q,0.15,0,1400000,0,슬로우베드사업팀
EX-2026-05,2026-07-27,2026-08-02,CJ온스타일,홈쇼핑방송,CJ온스타일 매트리스 특집 방송,SB-M-DFB-Q;SB-M-ORG-Q,0.25,0,3200000,0,슬로우베드사업팀
EX-2026-06,2026-08-06,2026-08-12,자사몰,신제품런칭,이브닝 모션 매트리스 런칭,SB-MO-EVM-Q;SB-MO-EVM-SS,0.08,100000,7400000,0,브랜드마케팅
EX-2026-07,2026-08-11,2026-08-17,오늘의집,브랜드위크,오늘의집 슬로우베드 브랜드위크,SB-T-NMX-Q;SB-T-NMX-SS;SB-T-ARB5-Q;SB-T-ARC-Q;SB-M-EVR-Q,0.36,30000,8900000,0,슬로우베드사업팀
EX-2026-08,2026-08-24,2026-08-30,쿠팡 로켓,기획전,쿠팡 가을 이사 기획전,SB-M-EVR-SS;SB-T-ARC-SS;SB-P-CLL,0.18,10000,2600000,0,슬로우베드사업팀
AD-2026-01,2026-06-01,2026-06-30,네이버 브랜드스토어,검색광고,6월 브랜드검색·쇼핑검색,전체,0.00,0,9800000,0,브랜드마케팅
AD-2026-02,2026-07-01,2026-07-31,네이버 브랜드스토어,검색광고,7월 브랜드검색·쇼핑검색,전체,0.00,0,11200000,0,브랜드마케팅
AD-2026-03,2026-08-01,2026-08-31,네이버 브랜드스토어,검색광고,8월 브랜드검색·쇼핑검색,전체,0.00,0,13600000,0,브랜드마케팅
AD-2026-04,2026-08-03,2026-08-16,자사몰,퍼포먼스광고,이브닝 모션 런칭 메타·유튜브 캠페인,SB-MO-EVM-Q;SB-MO-EVM-SS,0.00,0,15400000,0,브랜드마케팅
AD-2026-05,2026-06-10,2026-08-31,자사몰,인플루언서,수면 인플루언서 시딩 (누적 9건),SB-P-CLL;SB-P-CLB;SB-A-DPM,0.00,0,6300000,0,브랜드마케팅
AD-2026-06,2026-07-01,2026-08-31,직영매장,옥외광고,아파트 엘리베이터 광고 (유자녀 세그먼트),SB-F-BAU-G;SB-F-BAU-O;SB-M-EVR-SS,0.00,0,8800000,0,브랜드마케팅
